Opcode,Mnemonic,Operand(s),Flags affected,Number of bytes,Timing 386,Timing 486,Timing Pentium
 ,ror, ,AF ?, , , , 
D2,shl/sal,"reg8, CL","SF,ZF,OF,CF,PF",2,3,2,1
 ,shr, ,AF ?, , , , 
 ,sar, , , , , , 
D2,shl/sal,"mem8, CL","SF,ZF,OF,CF,PF",2+,7,4,4
 ,shr, ,AF ?, , , , 
 ,sar, , , , , , 
D3,rol,"reg16,CL","SF,ZF,OF,CF,PF",2,3,2,1
 ,ror,"reg32,CL",AF ?, , , , 
D3,rol,"mem16,CL","SF,ZF,OF,CF,PF",2+,7,4,4
 ,ror,"mem32,CL",AF ?, , , , 
D3,shl/sal,"reg16,CL","SF,ZF,OF,CF,PF",2,3,2,1
 ,shr,"reg32,CL",AF ?, , , , 
 ,sar, , , , , , 
D3,shl/sal,"mem16,CL","SF,ZF,OF,CF,PF",2+,7,4,4
 ,shr,"mem32,CL",AF ?, , , , 
 ,sar, , , , , , 
D4 0A,aam,none,"SF,ZF,PF",2,17,15,18
 , , ,"OF,AF,CF ?", , , , 
D5 0A,aad,none,"SF,ZF,PF",2,19,14,10
 , , ,"OF,AF,CF ?", , , , 
D7,xlat,none,none,1,5,4,4
E0,loopne,none,none,11+,"6,9","7,8",2
 ,loopnz, , , , , , 
E1,loope,none,none,11+,"6,9","7,8",2
 ,loopz, , , , , , 
E2,loop,none,none,11+,"6,7","5,6",2
E3,jecxz,rel8,none, , ,"6,5",2
E8,call,rel32,none,5,7+,3,1
E9,jmp,rel32,none,5,7+,3,1
EB,jmp,rel8,none,2,7+,3,1
F2,repnz,none,none,1, , , 
 ,repne,(string instruction prefix), , , , , 
F2 A6,repne,none,none,2,5+9n,7+7n,9+4n
 ,cmpsb, , , , , , 
F2 A7,repne,none,none,2,5+9n,7+7n,9+4n
 ,cmpsw, , , , , , 
 ,repne, , , , , , 
 ,cmpsd, , , , , , 
F2 AE,repne,none,none,2,5+8n,7+5n,9+4n
 ,scasb, , , , , , 
F2 AF,repne,none,none,2,5+8n,7+5n,9+4n
 ,scasw, , , , , , 
 ,repne, , , , , , 
 ,scasd, , , , , , 
F3,rep,none,none,1, , , 
 ,repz repe,(string instruction prefix), , , , , 
F3 A4,rep,none,none,2,7+4n,12+3n,13+4n
 ,movsb, , , , , , 
F3 A5,rep,none,none,2,7+4n,12+3n,13+4n
 ,movsw, , , , , , 
 ,rep, , , , , , 
 ,movsd, , , , , , 
F3 A6,rep stosb,none,none,2,5+5n,7+4n,9n
F3 A6,repe,none,none,2,5+9n,7+7n,9+4n
 ,cmpsb, , , , , , 
F3 A7,rep stosw,none,none,2,5+5n,7+4n,9n
 ,rep,stosd, , , , , 
F3 A7,repe,none,none,2,5+9n,7+7n,9+4n
 ,cmpsw, , , , , , 
 ,repe, , , , , , 
 ,cmpsd, , , , , , 
F3 AE,repe,none,none,2,5+8n,7+5n,9+4n
 ,scasb, , , , , , 
F3 AF,repe,none,none,2,5+8n,7+5n,9+4n
 ,scasw, , , , , , 
 ,repe, , , , , , 
 ,scasd, , , , , , 
F5,cmc,none,CF,1,2,2,2
F6,div,reg8,"SF,ZF,OF,PF,AF ?",2,14,16,17
F6,div,mem8,"SF,ZF,OF,PF,AF ?",2+,17,16,17
F6,idiv,reg8,"SF,ZF,OF,PF,AF ?",2,19,19,22
F6,idiv,mem8,"SF,ZF,OF,PF,AF ?",2+,22,20,22
F6,imul,reg8,"OF,CF",2,9-14,13-18,11
 , , ,"SF,ZF, PF,AF ?", , , , 
F6,imul,mem8,"OF,CF",2+,12-17,13-18,11
 , , ,"SF,ZF, PF,AF ?", , , , 
F6,mul,reg8,"OF,CF",2,9-14,13-18,11
 , , ,"SF,ZF, PF,AF ?", , , , 
F6,mul,mem8,"OF,CF",2+,12-17,13-18,11
 , , ,"SF,ZF, PF,AF ?", , , , 
F6,neg,reg8,"SF,ZF,OF,CF,PF,AF",2,2,1,1
F6,neg,mem8,"SF,ZF,OF,CF,PF,AF",2+,2,1,1
F6,not,reg8,none,2,2,1,1
F6,not,mem8,none,2+,6,3,3
F6,test,"reg8,imm8","SF,ZF,OF,CF,PF,AF",3,2,1,1
F6,test,"mem8,imm8","SF,ZF,OF,CF,PF,AF",3+,5,2,2
F7,div,reg16,"SF,ZF,OF,PF,AF ?",2,22,24,25
 , ,reg32, , ,38,40,41
F7,div,mem16,"SF,ZF,OF,PF,AF ?",2+,25,24,25
 , ,mem32, , ,41,40,41
F7,idiv,reg16,"SF,ZF,OF,PF,AF ?",2,27,27,30
 , ,reg32, , ,43,43,48
F7,idiv,mem16,"SF,ZF,OF,PF,AF ?",2+,30,28,30
 , ,mem32, , ,46,44,48
F7,imul,reg16,"OF,CF",2,9-22,13-26,11
 , ,reg32,"SF,ZF, PF,AF ?", ,9-38,13-42,10
F7,imul,mem16,"OF,CF",2+,12-25,13-26,11
 , ,mem32,"SF,ZF, PF,AF ?", ,12-41,13-42,10
F7,imul,mem16,"OF,CF",4,9-22,13-26,11
 , ,mem32,"SF,ZF, PF,AF ?",6,9-38,13-42,10
F7,mul,reg16,"OF,CF",2,9-22,13-26,11
 , ,reg32,"SF,ZF, PF,AF ?", ,9-38,13-42,10
F7,mul,mem16,"OF,CF",2+,12-25,13-26,11
 , ,mem32,"SF,ZF, PF,AF ?", ,12-41,13-42,10
F7,neg,reg16,"SF,ZF,OF,CF,PF,AF",2,2,1,1
 , ,reg32, , , , , 
F7,neg,mem16,"SF,ZF,OF,CF,PF,AF",2+,2,1,1
 , ,mem32, , , , , 
F7,not,reg16,none,2,2,1,1
 , ,reg32, , , , , 
F7,not,mem16,none,2+,6,3,3
 , ,mem32, , , , , 
F7,test,"reg16,imm16","SF,ZF,OF,CF,PF,AF",4,2,1,1
 , ,"reg32,imm32", ,6, , , 
F7,test,"mem16,imm16","SF,ZF,OF,CF,PF,AF",4+,5,2,2
 , ,"mem32,imm32", ,6+, , , 
F8,clc,none,CF,1,2,2,2
F9,stc,none,CF,1,2,2,2
FC,cld,none,DF,1,2,2,2
FD,std,none,DF,1,2,2,2
FE,dec,reg8, ,2,2,1,1
FE,dec,mem8,"SF,ZF,OF,PF,AF",2+,6,3,3
FE,inc,reg8,"SF,ZF,OF,PF,AF",2,2,1,1
FE,inc,mem8,"SF,ZF,OF,PF,AF",2+,6,3,3
FF,call,reg32 (near indirect),none,2,7+,5,2
FF,call,mem32 (near indirect),none,2+,10+,5,2
FF,call,far indirect,none,6,22+,17,5
FF,dec,mem16,"SF,ZF,OF,PF,AF",2+,6,3,3
 , ,mem32, , , , , 
FF,inc,mem16,"SF,ZF,OF,PF,AF",2+,6,3,3
 , ,mem32, , , , , 
FF,jmp,reg32,none,2,10+,5,2
FF,jmp,mem32,none,2+,10+,5,2
FF,push,mem16,none,2+,5,4,2
